Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Shop location
adalyne-lace-halter-maxi-dress-black,Adalyne Lace Halter Maxi Dress Black,Size,US 2,Color,Black,,,147635-1327360,,,900
adalyne-lace-halter-maxi-dress-black,Adalyne Lace Halter Maxi Dress Black,Size,US 4,Color,Black,,,147635-1327361,,,900
adalyne-lace-halter-maxi-dress-black,Adalyne Lace Halter Maxi Dress Black,Size,US 6,Color,Black,,,147635-1327362,,,900
adalyne-lace-halter-maxi-dress-black,Adalyne Lace Halter Maxi Dress Black,Size,US 8,Color,Black,,,147635-1327363,,,900
adalyne-lace-halter-maxi-dress-black,Adalyne Lace Halter Maxi Dress Black,Size,US 10,Color,Black,,,147635-1327364,,,900
adalyne-lace-halter-maxi-dress-black,Adalyne Lace Halter Maxi Dress Black,Size,US 12,Color,Black,,,147635-1327365,,,900
adalyne-lace-halter-maxi-dress-black-curve,Adalyne Lace Halter Maxi Dress Black Curve,Size,US 14,Color,Black,,,147522-1326699,,,900
adalyne-lace-halter-maxi-dress-black-curve,Adalyne Lace Halter Maxi Dress Black Curve,Size,US 16,Color,Black,,,147522-1326700,,,900
adalyne-lace-halter-maxi-dress-black-curve,Adalyne Lace Halter Maxi Dress Black Curve,Size,US 18,Color,Black,,,147522-1326701,,,900
adalyne-lace-halter-maxi-dress-black-curve,Adalyne Lace Halter Maxi Dress Black Curve,Size,US 20,Color,Black,,,147522-1326702,,,900
adamaria-plunge-halter-lace-trim-maxi-dress-chocolate,Adamaria Plunge Halter Lace Trim Maxi Dress Chocolate,Size,US 0,Color,Chocolate,,,155075-1374345,,,900
adamaria-plunge-halter-lace-trim-maxi-dress-chocolate,Adamaria Plunge Halter Lace Trim Maxi Dress Chocolate,Size,US 2,Color,Chocolate,,,155075-1374346,,,900
adamaria-plunge-halter-lace-trim-maxi-dress-chocolate,Adamaria Plunge Halter Lace Trim Maxi Dress Chocolate,Size,US 4,Color,Chocolate,,,155075-1374347,,,900
adamaria-plunge-halter-lace-trim-maxi-dress-chocolate,Adamaria Plunge Halter Lace Trim Maxi Dress Chocolate,Size,US 6,Color,Chocolate,,,155075-1374349,,,900
adamaria-plunge-halter-lace-trim-maxi-dress-chocolate,Adamaria Plunge Halter Lace Trim Maxi Dress Chocolate,Size,US 8,Color,Chocolate,,,155075-1374351,,,900
adamaria-plunge-halter-lace-trim-maxi-dress-chocolate,Adamaria Plunge Halter Lace Trim Maxi Dress Chocolate,Size,US 10,Color,Chocolate,,,155075-1374353,,,900
adamaria-plunge-halter-lace-trim-maxi-dress-chocolate,Adamaria Plunge Halter Lace Trim Maxi Dress Chocolate,Size,US 12,Color,Chocolate,,,155075-1374355,,,900
adasia-lace-v-neck-maxi-dress-red-polka-dot,Adasia Lace V Neck Maxi Dress Red Polka Dot,Size,US 0,Color,Red Polka Dot,,,151937-1353599,,,900
adasia-lace-v-neck-maxi-dress-red-polka-dot,Adasia Lace V Neck Maxi Dress Red Polka Dot,Size,US 2,Color,Red Polka Dot,,,151937-1353600,,,900
adasia-lace-v-neck-maxi-dress-red-polka-dot,Adasia Lace V Neck Maxi Dress Red Polka Dot,Size,US 4,Color,Red Polka Dot,,,151937-1353601,,,900
adasia-lace-v-neck-maxi-dress-red-polka-dot,Adasia Lace V Neck Maxi Dress Red Polka Dot,Size,US 6,Color,Red Polka Dot,,,151937-1353602,,,900
adasia-lace-v-neck-maxi-dress-red-polka-dot,Adasia Lace V Neck Maxi Dress Red Polka Dot,Size,US 8,Color,Red Polka Dot,,,151937-1353603,,,900
adasia-lace-v-neck-maxi-dress-red-polka-dot,Adasia Lace V Neck Maxi Dress Red Polka Dot,Size,US 10,Color,Red Polka Dot,,,151937-1353604,,,900
